e9,5.0,0.09623055555555557
e8,5.0,0.0
e7,5.0,0.0
e6,5.0,0.0
e5,5.0,0.0
e4,5.0,0.0
e3,5.0,0.0
e2,5.0,0.0
e1,5.0,0.0
e0,5.0,0.0
c,5.0,0.0
e9,2390.0,46.83875
e8,2390.0,0.0
e7,2390.0,0.0
e6,2390.0,0.0
e5,2390.0,0.0
e4,2390.0,0.0
e3,2390.0,0.0
e2,2390.0,0.0
e1,2390.0,0.0
e0,2390.0,0.0
c,2390.0,0.0
e9,2395.0,0.0
e8,2395.0,0.0
e7,2395.0,0.0
e6,2395.0,0.0
e5,2395.0,0.0
e4,2395.0,0.0
e3,2395.0,0.0
e2,2395.0,0.0
e1,2395.0,0.0
e0,2395.0,0.0
c,2395.0,0.0
e9,2400.0,0.09680555555555515
e8,2400.0,0.0
e7,2400.0,0.0
e6,2400.0,0.0
e5,2400.0,0.0
e4,2400.0,0.0
e3,2400.0,0.0
e2,2400.0,0.0
e1,2400.0,0.0
e0,2400.0,0.0
c,2400.0,0.0
e9,2423.0,0.4453055555555565
e8,2423.0,0.0
e7,2423.0,0.0
e6,2423.0,0.0
e5,2423.0,0.0
e4,2423.0,0.0
e3,2423.0,0.0
e2,2423.0,0.0
e1,2423.0,0.0
e0,2423.0,0.0
c,2423.0,0.0
e9,2428.0,0.0
e8,2428.0,0.0
e7,2428.0,0.0
e6,2428.0,0.0
e5,2428.0,0.0
e4,2428.0,0.0
e3,2428.0,0.0
e2,2428.0,0.0
e1,2428.0,0.0
e0,2428.0,0.0
c,2428.0,0.0
e9,2433.0,0.09680555555555515
e8,2433.0,0.0
e7,2433.0,0.0
e6,2433.0,0.0
e5,2433.0,0.0
e4,2433.0,0.0
e3,2433.0,0.0
e2,2433.0,0.0
e1,2433.0,0.0
e0,2433.0,0.0
c,2433.0,0.0
e9,2438.0,0.09680555555555515
e8,2438.0,0.0
e7,2438.0,0.0
e6,2438.0,0.0
e5,2438.0,0.0
e4,2438.0,0.0
e3,2438.0,0.0
e2,2438.0,0.0
e1,2438.0,0.0
e0,2438.0,0.0
c,2438.0,0.0
e9,2443.0,0.09680555555555515
e8,2443.0,0.0
e7,2443.0,0.0
e6,2443.0,0.0
e5,2443.0,0.0
e4,2443.0,0.0
e3,2443.0,0.0
e2,2443.0,0.0
e1,2443.0,0.0
e0,2443.0,0.0
c,2443.0,0.0
e9,2448.0,0.0
e8,2448.0,0.0
e7,2448.0,0.0
e6,2448.0,0.0
e5,2448.0,0.0
e4,2448.0,0.0
e3,2448.0,0.0
e2,2448.0,0.0
e1,2448.0,0.0
e0,2448.0,0.0
c,2448.0,0.0
e9,2453.0,0.0
e8,2453.0,0.0
e7,2453.0,0.0
e6,2453.0,0.0
e5,2453.0,0.0
e4,2453.0,0.0
e3,2453.0,0.0
e2,2453.0,0.0
e1,2453.0,0.0
e0,2453.0,0.0
c,2453.0,0.0
e9,2458.0,0.0
e8,2458.0,0.0
e7,2458.0,0.0
e6,2458.0,0.0
e5,2458.0,0.0
e4,2458.0,0.0
e3,2458.0,0.0
e2,2458.0,0.0
e1,2458.0,0.0
e0,2458.0,0.0
c,2458.0,0.0
e9,2463.0,0.0
e8,2463.0,0.0
e7,2463.0,0.0
e6,2463.0,0.0
e5,2463.0,0.0
e4,2463.0,0.0
e3,2463.0,0.0
e2,2463.0,0.0
e1,2463.0,0.0
e0,2463.0,0.0
c,2463.0,0.0
e9,2468.0,0.0
e8,2468.0,0.0
e7,2468.0,0.0
e6,2468.0,0.0
e5,2468.0,0.0
e4,2468.0,0.0
e3,2468.0,0.0
e2,2468.0,0.0
e1,2468.0,0.0
e0,2468.0,0.0
c,2468.0,0.0
e9,2473.0,0.0
e8,2473.0,0.0
e7,2473.0,0.0
e6,2473.0,0.0
e5,2473.0,0.0
e4,2473.0,0.0
e3,2473.0,0.0
e2,2473.0,0.0
e1,2473.0,0.0
e0,2473.0,0.0
c,2473.0,0.0
e9,2478.0,0.0
e8,2478.0,0.0
e7,2478.0,0.0
e6,2478.0,0.0
e5,2478.0,0.0
e4,2478.0,0.0
e3,2478.0,0.0
e2,2478.0,0.0
e1,2478.0,0.0
e0,2478.0,0.0
c,2478.0,0.0
e9,2483.0,0.0
e8,2483.0,0.0
e7,2483.0,0.0
e6,2483.0,0.0
e5,2483.0,0.0
e4,2483.0,0.0
e3,2483.0,0.0
e2,2483.0,0.0
e1,2483.0,0.0
e0,2483.0,0.0
c,2483.0,0.0
e9,2488.0,0.0
e8,2488.0,0.0
e7,2488.0,0.0
e6,2488.0,0.0
e5,2488.0,0.0
e4,2488.0,0.0
e3,2488.0,0.0
e2,2488.0,0.0
e1,2488.0,0.0
e0,2488.0,0.0
c,2488.0,0.0
e9,2493.0,0.0
e8,2493.0,0.0
e7,2493.0,0.0
e6,2493.0,0.0
e5,2493.0,0.0
e4,2493.0,0.0
e3,2493.0,0.0
e2,2493.0,0.0
e1,2493.0,0.0
e0,2493.0,0.0
c,2493.0,0.0
e9,2498.0,0.0
e8,2498.0,0.0
e7,2498.0,0.0
e6,2498.0,0.0
e5,2498.0,0.0
e4,2498.0,0.0
e3,2498.0,0.0
e2,2498.0,0.0
e1,2498.0,0.0
e0,2498.0,0.0
c,2498.0,0.0
e9,2503.0,0.0
e8,2503.0,0.0
e7,2503.0,0.0
e6,2503.0,0.0
e5,2503.0,0.0
e4,2503.0,0.0
e3,2503.0,0.0
e2,2503.0,0.0
e1,2503.0,0.0
